id,stock
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,71.0
53,14.0
54,16.0
55,85.0
56,40.0
57,77.0
58,19.0
59,74.0
60,17.0
61,53.0
62,80.0
63,42.0
64,49.0
65,22.0
66,22.0
67,45.0
68,62.0
69,38.0
70,49.0
71,69.0
72,7.0
73,86.0
74,32.0
75,45.0
76,6.0
77,28.0
78,13.0
79,75.0
80,58.0
81,38.0
82,99.0
83,13.0
84,19.0
85,29.0
86,39.0
87,59.0
88,19.0
89,46.0
90,29.0
91,90.0
92,82.0
93,4.0
94,95.0
95,7.0
96,98.0
97,14.0
98,63.0
99,34.0
100,59.0
101,10.0
102,26.0
103,69.0
104,94.0
105,97.0
106,78.0
107,88.0
108,74.0
109,10.0
110,39.0
111,58.0
112,74.0
113,34.0
114,18.0
115,34.0
116,31.0
117,46.0
118,59.0
119,98.0
120,21.0
121,77.0
122,68.0
123,37.0
124,40.0
125,68.0
126,2.0
127,78.0
128,86.0
129,29.0
130,67.0
131,34.0
132,27.0
133,44.0
134,89.0
135,7.0
136,30.0
137,28.0
138,44.0
139,53.0
140,40.0
141,47.0
142,37.0
143,63.0
144,23.0
145,27.0
146,25.0
147,65.0
148,2.0
149,85.0
150,75.0
151,54.0
152,0.0
153,34.0
154,36.0
155,14.0
156,93.0
157,61.0
158,25.0
159,13.0
160,10.0
161,4.0
162,44.0
163,83.0
164,47.0
165,78.0
166,31.0
167,93.0
168,35.0
169,67.0
170,46.0
171,34.0
172,97.0
173,26.0
174,84.0
175,35.0
176,35.0
177,17.0
178,67.0
179,64.0
180,87.0
181,76.0
182,7.0
183,48.0
184,94.0
185,48.0
186,73.0
187,83.0
188,8.0
189,43.0
190,95.0
191,89.0
192,63.0
193,0.0
194,9.0
195,70.0
196,47.0
197,27.0
198,5.0
199,54.0
200,24.0
201,10.0
202,58.0
203,99.0
204,38.0
205,89.0
206,96.0
207,10.0
208,23.0
209,19.0
210,33.0
211,17.0
212,88.0
213,17.0
214,66.0
215,19.0
216,2.0
217,59.0
218,69.0
219,83.0
220,99.0
221,49.0
222,5.0
223,15.0
224,61.0
225,47.0
226,14.0
227,99.0
228,6.0
229,35.0
230,37.0
231,65.0
232,1.0
233,25.0
234,70.0
235,38.0
236,41.0
237,31.0
238,80.0
239,26.0
240,9.0
241,29.0
242,62.0
243,60.0
244,93.0
245,25.0
246,55.0
247,46.0
248,28.0
249,13.0
250,66.0
251,49.0
252,99.0
253,65.0
254,4.0
255,63.0
256,63.0
257,32.0
258,58.0
259,1.0
260,0.0
261,44.0
262,64.0
263,86.0
264,36.0
265,9.0
266,65.0
267,69.0
268,45.0
269,59.0
270,76.0
271,31.0
272,81.0
273,86.0
274,27.0
275,86.0
276,92.0
277,48.0
278,82.0
279,37.0
280,53.0
281,86.0
282,89.0
283,43.0
284,31.0
285,21.0
286,83.0
287,19.0
288,96.0
289,83.0
290,0.0
291,78.0
292,43.0
293,66.0
294,94.0
295,62.0
296,29.0
297,30.0
298,67.0
299,95.0
300,74.0
301,49.0
302,20.0
303,7.0
304,40.0
305,83.0
306,34.0
307,18.0
308,39.0
309,67.0
310,56.0
311,87.0
312,68.0
313,91.0
314,75.0
315,71.0
316,9.0
317,26.0
318,39.0
319,30.0
320,51.0
321,92.0
322,73.0
323,25.0
324,46.0
325,78.0
